Date,name,tag
2018-09-10,tag1,65365
2018-09-27,tag1,46092
2018-09-27,tag2,65448
2018-09-27,tag3,65148
2018-09-27,tag4,65132
2018-09-27,tag5,65270
2018-09-27,tag6,65223
2018-09-28,tag1,65158
2018-09-28,tag2,65467
2018-09-28,tag3,60095
2018-09-28,tag4,65528
2018-09-28,tag5,65186
2018-10-09,tag1,60152
2018-10-09,tag2,65493
2018-10-09,tag3,65487
2018-10-09,tag4,65460
2018-10-09,tag5,60172
2018-10-09,tag6,65606
2018-10-09,tag7,60204
2018-10-09,tag8,60125
2018-10-09,tag9,65682
2018-10-09,tag10,65634
2018-10-09,tag11,65357
2018-10-09,tag12,65353
2018-10-09,tag13,65314
2018-10-09,tag14,65214
2018-10-09,tag15,65544
2018-10-10,tag1,46002
2018-10-10,tag2,60214
2018-10-10,tag3,60192
2018-10-10,tag4,65624
2018-10-10,tag5,60145
2018-10-10,tag6,60224
2018-10-10,tag7,65142
2018-10-10,tag8,60227
2018-10-10,tag9,60128
2018-10-10,tag10,65547
2018-10-10,tag11,65399
2018-10-10,tag12,65683
2018-10-10,tag13,65627
2018-10-11,tag1,65174
2018-10-11,tag2,60146
2018-10-11,tag3,65415
2018-10-11,tag4,60166
2018-10-12,tag1,65303
2018-10-13,tag1,65195
2018-10-13,tag2,65263
2018-10-14,tag1,65508
2018-10-19,tag1,65456
2018-10-19,tag2,65449
2018-10-20,tag1,65194
2018-10-30,tag1,65014
2018-10-30,tag2,65326
2018-10-31,tag1,65620
2018-11-04,tag1,65267
2018-11-04,tag2,60187
2018-11-04,tag3,65628
2018-11-06,tag1,65670
2018-11-06,tag2,65390
2019-09-04,tag1,61062
2019-09-10,tag1,44180
2019-09-10,tag2,61269
2019-09-13,tag1,44059
2019-09-13,tag2,44160
2019-09-13,tag3,61200
2019-09-13,tag4,61293
2019-09-13,tag5,61097
2019-09-16,tag1,61236
2019-09-17,tag1,61344
2019-09-20,tag1,61351
2019-09-21,tag1,61312
2019-09-21,tag2,61274
2019-09-22,tag1,44092
2019-09-22,tag2,44178
2019-09-22,tag3,44053
2019-09-22,tag4,61083
2019-09-22,tag5,61290
2019-09-22,tag6,61267
2019-09-23,tag1,44084
2019-09-23,tag2,44219
2019-09-23,tag3,61078
2019-09-23,tag4,61134
2019-09-24,tag1,61225
2019-09-27,tag1,61407
2019-10-01,tag1,61438
2019-10-03,tag1,61381
2019-10-05,tag1,44254
2019-10-05,tag2,44235
2019-10-05,tag3,44205
2019-10-05,tag4,61395
2019-10-05,tag5,61288
2019-10-05,tag6,61308
2019-10-05,tag7,61445
2019-10-06,tag1,44252
2019-10-07,tag1,44067
2019-10-07,tag2,61039
2019-10-07,tag3,61390
2019-10-07,tag4,61362
2019-10-07,tag5,61374
2019-10-07,tag6,61329
2019-10-07,tag7,61124
2019-10-08,tag1,61338
2019-10-17,tag1,NA
2019-10-17,tag2,61428
2019-10-18,tag1,69291
2019-10-25,tag1,61473
2020-08-18,tag1,62042
2020-08-20,tag1,45051
2020-08-25,tag1,45158
2020-08-28,tag1,62012
2020-09-01,tag1,45204
2020-09-04,tag1,45152
2020-09-05,tag1,45410
2020-09-05,tag2,45440
2020-09-05,tag3,45171
2020-09-06,tag1,45473
2020-09-06,tag2,62288
2020-09-06,tag3,62309
2020-09-06,tag4,62283
2020-09-06,tag5,62274
2020-09-07,tag1,45102
2020-09-07,tag2,62035
2020-09-07,tag3,62223
2020-09-08,tag1,45262
2020-09-08,tag2,45350
2020-09-08,tag3,45536
2020-09-08,tag4,45519
2020-09-08,tag5,45513
2020-09-08,tag6,62323
2020-09-09,tag1,62326
2020-09-10,tag1,45150
2020-09-11,tag1,45602
2020-09-12,tag1,45593
2020-09-12,tag2,62144
2020-09-13,tag1,45503
2020-09-15,tag1,45445
2020-09-16,tag1,45616
2020-09-16,tag2,62163
2020-09-17,tag1,45528
2020-09-17,tag2,62230
2020-09-18,tag1,45608
2020-09-18,tag2,45652
2020-09-18,tag3,45681
2020-09-18,tag4,45591
2020-09-19,tag1,62293
2020-09-20,tag1,45578
2020-09-20,tag2,45467
2020-09-21,tag1,45662
2020-09-21,tag2,45686
2020-09-21,tag3,45648
2020-09-22,tag1,45536
2020-09-22,tag2,45728
2020-09-22,tag3,45559
2020-09-23,tag1,45557
2020-09-24,tag1,45344
2020-09-24,tag2,45520
2020-09-24,tag3,45509
2020-09-24,tag4,45580
2020-09-24,tag5,62279
2020-09-25,tag1,45752
2020-09-25,tag2,45639
2020-09-26,tag1,45483
2020-09-26,tag2,62152
2020-09-27,tag1,45170
2020-09-29,tag1,45560
2020-09-29,tag2,45314
2020-09-30,tag1,45338
2020-09-30,tag2,45444
2020-09-30,tag3,45106
2020-09-30,tag4,45408
2020-09-30,tag5,45642
2020-09-30,tag6,62056
2020-09-30,tag7,62320
2020-09-30,tag8,45442
2020-10-01,tag1,45709
2020-10-01,tag2,45281
2020-10-01,tag3,45132
2020-10-01,tag4,45724
2020-10-01,tag5,45750
2020-10-01,tag6,545581
2020-10-01,tag7,45423
2020-10-01,tag8,45568
2020-10-01,tag9,45745
2020-10-01,tag10,62248
2020-10-01,tag11,62227
2020-10-03,tag1,45679
2020-10-06,tag1,45208
2021-08-16,tag1,53314
2021-08-18,tag1,45013
2021-08-19,tag1,53413
2021-08-27,tag1,53048
2021-08-27,tag2,53468
2021-08-29,tag1,53513
2021-08-30,tag1,54099
2021-09-02,tag1,53038
2021-09-05,tag1,54140
2021-09-05,tag2,53594
2021-09-05,tag3,54120
2021-09-05,tag4,54173
2021-09-05,tag5,53480
2021-09-07,tag1,53569
2021-09-07,tag2,53566
2021-09-07,tag3,44288
2021-09-08,tag1,54068
2021-09-09,tag1,54195
2021-09-09,tag2,53552
2021-09-09,tag3,53489
2021-09-09,tag4,53559
2021-09-12,tag1,54154
2021-09-12,tag2,53716
2021-09-13,tag1,542231
2021-09-14,tag1,523410
2021-09-14,tag2,54165
2021-09-18,tag1,54212
2021-09-18,tag2,53739
2021-09-18,tag3,53776
2021-09-19,tag1,53441
2021-09-19,tag2,53628
2021-09-19,tag3,54203
2021-09-19,tag4,53465
2021-09-20,tag1,54274
2021-09-20,tag2,53855
2021-09-21,tag1,54162
2021-09-22,tag1,54307
2021-09-23,tag1,54287
2021-09-23,tag2,53810
2021-09-23,tag3,NA
2021-09-23,tag4,54240
2021-09-25,tag1,53704
2021-09-25,tag2,53843
2021-09-26,tag1,54129
2021-09-26,tag2,53943
2021-09-26,tag3,53781
2021-09-26,tag4,53593
2021-09-26,tag5,53859
2021-09-26,tag6,53864
2021-09-26,tag7,53771
2021-09-27,tag1,54317
2021-09-27,tag2,53753
2021-09-28,tag1,54193
2021-10-01,tag1,53525
2021-10-02,tag1,54289
2021-10-02,tag2,53024
2021-10-05,tag1,53940
2021-10-05,tag2,NA
2021-10-10,tag1,53917
2021-10-11,tag1,53936
2021-10-13,tag1,54228
2021-10-18,tag1,53456
